building,floor,number,size,occupancy
wig,1,119,144.0,single
wig,1,120,205.0,double
wig,1,121,104.0,single
wig,1,123,128.0,single
wig,1,125,181.0,double
wig,1,127,193.0,double
wig,1,128,169.0,double
wig,1,129,193.0,double
wig,1,130,137.0,single
wig,1,131,189.0,double
wig,1,133,189.0,double
wig,2,200,192.0,double
wig,2,201,160.0,single
wig,2,202,181.0,single
wig,2,203,141.0,single
wig,2,204,137.0,single
wig,2,205,152.0,single
wig,2,206,193.0,double
wig,2,207,152.0,single
wig,2,208,193.0,double
wig,2,209,193.0,double
wig,2,210,193.0,double
wig,2,211,193.0,single
wig,2,212,137.0,single
wig,2,214,137.0,single
wig,2,215,193.0,double
wig,2,216,137.0,single
wig,2,217,148.0,single
wig,2,218,193.0,double
wig,2,219,141.0,single
wig,2,220,177.0,double
wig,2,221,177.0,double
sontag,1,111,121,single
sontag,1,112,132,single
sontag,1,113,123,single
sontag,1,114,138,single
sontag,1,121,120,single
sontag,1,122,136,single
sontag,1,123,123,single
sontag,1,124,139,single
sontag,1,131,129,single
sontag,1,132,131,single
sontag,1,133,125,single
sontag,1,134,131,single
sontag,1,135,129,single
sontag,1,136,153,single
sontag,1,141,126,single
sontag,1,142,138,single
sontag,1,143,122,single
sontag,1,144,137,single
sontag,1,151,125,single
sontag,1,152,138,single
sontag,1,153,121,single
sontag,1,154,137,single
sontag,1,161,130,single
sontag,1,162,132,single
sontag,1,163,127,single
sontag,1,164,132,single
sontag,1,165,130,single
sontag,1,166,138,single
sontag,2,201,118,single
sontag,2,202,121,single
sontag,2,203,136,single
sontag,2,211,120,single
sontag,2,212,132,single
sontag,2,213,121,single
sontag,2,214,139,single
sontag,2,221,121,single
sontag,2,222,137,single
sontag,2,223,121,single
sontag,2,224,138,single
sontag,2,231,129,single
sontag,2,232,131,single
sontag,2,233,125,single
sontag,2,234,131,single
sontag,2,235,129,single
sontag,2,236,153,single
sontag,2,241,125,single
sontag,2,242,138,single
sontag,2,243,122,single
sontag,2,244,137,single
sontag,2,251,125,single
sontag,2,252,139,single
sontag,2,253,122,single
sontag,2,254,137,single
sontag,2,261,130,single
sontag,2,262,132,single
sontag,2,263,127,single
sontag,2,264,132,single
sontag,2,265,128,single
sontag,2,266,136,single
sontag,3,301,118,single
sontag,3,302,121,single
sontag,3,303,136,single
sontag,3,311,120,single
sontag,3,312,133,single
sontag,3,313,121,single
sontag,3,314,139,single
sontag,3,321,121,single
sontag,3,322,136,single
sontag,3,323,122,single
sontag,3,324,139,single
sontag,3,331,128,single
sontag,3,332,131,single
sontag,3,333,125,single
sontag,3,334,131,single
sontag,3,335,128,single
sontag,3,336,153,single
bhall,1,101,122,single
bhall,1,102,137,single
bhall,1,103,120,single
bhall,1,104,137,single
bhall,1,111,120,single
bhall,1,112,118,single
bhall,1,113,137,single
bhall,1,116,132,single
bhall,1,121,137,single
bhall,1,122,119,single
bhall,1,123,121,single
bhall,1,124,137,single
bhall,1,131,123,single
bhall,1,132,137,single
bhall,1,133,121,single
bhall,1,134,141,single
bhall,2,201,118,single
bhall,2,202,137,single
bhall,2,203,120,single
bhall,2,204,132,single
bhall,2,221,137,single
bhall,2,222,118,single
bhall,2,223,121,single
bhall,2,224,137,single
bhall,2,231,121,single
bhall,2,232,121,single
bhall,2,233,136,single
bhall,2,234,137,single
bhall,2,241,122,single
bhall,2,242,136,single
bhall,2,243,121,single
bhall,2,244,141,single
bhall,2,251,129,single
bhall,2,252,131,single
bhall,2,253,129,single
bhall,2,254,131,single
bhall,2,255,132,single
bhall,2,256,140,single
bhall,2,261,131,single
bhall,2,262,129,single
bhall,2,263,125,single
bhall,2,264,132,single
bhall,2,271,132,single
bhall,2,272,124,single
bhall,2,273,130,single
bhall,2,274,143,single
bhall,2,281,127,single
bhall,2,282,128,single
bhall,2,283,123,single
bhall,2,284,128,single
bhall,2,285,125,single
bhall,2,286,137,single
bhall,3,301,130,single
bhall,3,302,123,single
bhall,3,303,128,single
bhall,3,311,118,single
bhall,3,312,137,single
bhall,3,313,118,single
bhall,3,314,133,single
bhall,3,321,120,single
bhall,3,322,121,single
bhall,3,323,137,single
bhall,3,324,137,single
bhall,3,331,123,single
bhall,3,332,137,single
bhall,3,333,119,single
bhall,3,334,136,single
bhall,3,341,124,single
bhall,3,342,137,single
bhall,3,343,121,single
bhall,3,344,141,single
bhall,3,351,126,single
bhall,3,352,129,single
bhall,3,353,127,single
bhall,3,354,129,single
bhall,3,355,129,single
bhall,3,356,138,single
clarki,1,134A,None,two room double
clarki,1,134B,None,two room double
cottage239,1,A,None,single
cottage239,1,B,None,single
cottage239,1,C,None,single
cottage241,1,A,None,double
cottage241,1,B,None,double
cottage245,1,A,None,double
cottage245,1,B,None,double
cottage245,1,C,None,single
lawry,1,B11,None,single
lawry,2,B21,None,single
lawry,3,B31,None,single
lawry,1,C11,None,single
lawry,2,C21,None,single
lawry,3,C31,None,single
wig,0,16,None,double
