building_shortname,floor,number,size,occupancy,lat,long
walker,2,745,118.0,two room double,34.100714199,-117.711932446
walker,2,746,142.0,two room double,34.1005798276,-117.712156411
walker,2,747,118.0,two room double,34.1006153639,-117.71215507
walker,2,748,142.0,two room double,34.1006819943,-117.712156411
walker,2,749,118.0,two room double,34.100714199,-117.712153729
harwood,0,75,135.0,single,34.0961074359,-117.713441817
walker,2,750,142.0,two room double,34.1005776066,-117.712199326
walker,2,751,118.0,two room double,34.1006164744,-117.712197985
walker,2,752,142.0,two room double,34.1006819943,-117.712202008
walker,2,753,118.0,two room double,34.1007130884,-117.712196644
harwood,0,77,129.0,single,34.0960785611,-117.7134445
harwood,0,79,138.0,single,34.0960519075,-117.7134445
muddblaisdell,0,8,145.0,single,34.0961286057,-117.711916479
nortonclark,1,8,137.0,single,34.0997755572,-117.710539667
harwood,0,80,119.0,single,34.0959919369,-117.713621525
harwood,0,81,289.0,double,34.0960119271,-117.7134445
harwood,0,82,133.0,single,34.095960841,-117.713613479
harwood,0,83,177.0,single,34.0959730572,-117.713445841
harwood,0,84,108.0,single,34.095960841,-117.713569222
harwood,0,85,161.0,single,34.0959408507,-117.713443159
harwood,0,86,130.0,single,34.095960841,-117.713526307
harwood,0,87,232.0,double,34.0958975385,-117.713443159
harwood,0,9,235.0,double,34.0961851755,-117.714098959
muddblaisdell,0,9,141.0,single,34.0961158342,-117.712010356
nortonclark,1,9,137.0,single,34.0998471856,-117.710577218
wig,0,9,137.0,single,34.0957942555,-117.714527441
cottage239,1,A,,single,34.09622349,-117.715121551
cottage241,1,A,,double,34.0964261679,-117.715153067
cottage245,1,A,,double,34.0964356076,-117.715364961
lawry,1,A11,128.0,single,34.1002841736,-117.710351913
lawry,1,A12,128.0,single,34.1001925563,-117.7103613
lawry,1,A13,120.0,single,34.1002974997,-117.710316373
lawry,1,A14,120.0,single,34.1001864485,-117.710319056
lawry,1,A15,120.0,single,34.1002875051,-117.710277481
lawry,1,A16,120.0,single,34.1001903353,-117.710278823
lawry,1,A17,116.0,single,34.1002608528,-117.710259377
lawry,1,A18,116.0,single,34.100230869,-117.710256024
lawry,2,A21,128.0,single,34.1002947234,-117.710370688
lawry,2,A22,128.0,single,34.1001964431,-117.710372029
lawry,2,A23,120.0,single,34.1003097153,-117.710333137
lawry,2,A24,120.0,single,34.100185338,-117.710330455
lawry,2,A25,120.0,single,34.100304718,-117.710294916
lawry,2,A26,120.0,single,34.100187559,-117.710290222
lawry,2,A27,116.0,single,34.1002730684,-117.710267423
lawry,2,A28,116.0,single,34.1002403083,-117.710265412
lawry,3,A31,128.0,single,34.100304718,-117.71037337
lawry,3,A32,128.0,single,34.1001903353,-117.710370018
lawry,3,A33,120.0,single,34.1003113811,-117.710330455
lawry,3,A34,120.0,single,34.1001814512,-117.710333808
lawry,3,A35,120.0,single,34.100302497,-117.710286869
lawry,3,A36,120.0,single,34.1001886695,-117.710289551
lawry,3,A37,116.0,single,34.1002736237,-117.7102634
lawry,3,A38,116.0,single,34.1002397531,-117.710264741
cottage239,1,B,,single,34.0962951214,-117.715124233
cottage241,1,B,,double,34.0964872488,-117.715177877
cottage245,1,B,,double,34.0964883593,-117.715478285
lawry,1,B11,,single,34.1002169876,-117.710180251
lawry,1,B12,128.0,single,34.1001253702,-117.710181592
lawry,1,B13,120.0,single,34.1002236507,-117.710148065
lawry,1,B14,120.0,single,34.1001153756,-117.710144042
lawry,1,B15,120.0,single,34.1002219849,-117.710104479
lawry,1,B16,120.0,single,34.1001198177,-117.710104479
lawry,1,B18,116.0,single,34.1001631277,-117.710086374
lawry,2,B21,,single,34.1002158771,-117.710186957
lawry,2,B22,128.0,single,34.1001192624,-117.710185616
lawry,2,B23,120.0,single,34.1002314242,-117.710148735
lawry,2,B24,120.0,single,34.1001087125,-117.710148735
lawry,2,B25,120.0,single,34.1002242059,-117.710107161
lawry,2,B26,120.0,single,34.1001103783,-117.710107161
lawry,2,B27,116.0,single,34.1001942221,-117.710084362
lawry,2,B28,116.0,single,34.1001614619,-117.710085033
lawry,3,B31,,single,34.1002242059,-117.710186286
lawry,3,B32,128.0,single,34.1001125993,-117.710187627
lawry,3,B33,120.0,single,34.100228648,-117.710148735
lawry,3,B34,120.0,single,34.1001009389,-117.710149406
lawry,3,B35,120.0,single,34.1002242059,-117.710102467
lawry,3,B36,120.0,single,34.1001109336,-117.710106491
lawry,3,B37,116.0,single,34.1001947773,-117.710082351
lawry,3,B38,116.0,single,34.1001592409,-117.71008101
cottage239,1,C,,single,34.0962223794,-117.715171171
cottage245,1,C,,single,34.0964311654,-117.715487672
lawry,1,C11,,single,34.1001431385,-117.710007919
lawry,1,C12,128.0,single,34.1000598499,-117.710006578
lawry,1,C13,120.0,single,34.1001592409,-117.709973051
lawry,1,C14,120.0,single,34.1000476342,-117.70997171
lawry,1,C15,120.0,single,34.1001525778,-117.709930135
lawry,1,C16,120.0,single,34.1000565184,-117.709930135
lawry,1,C17,116.0,single,34.100122594,-117.709908678
lawry,1,C18,116.0,single,34.1000953864,-117.709909348
lawry,2,C21,,single,34.1001381411,-117.710006578
lawry,2,C22,128.0,single,34.1000404159,-117.710007249
lawry,2,C23,120.0,single,34.1001520226,-117.709969698
lawry,2,C24,120.0,single,34.1000232029,-117.709967686
lawry,2,C25,120.0,single,34.1001498015,-117.709930135
lawry,2,C26,120.0,single,34.1000331975,-117.709926112
lawry,2,C27,116.0,single,34.1001137098,-117.709901302
lawry,2,C28,116.0,single,34.1000815049,-117.709905325
lawry,3,C31,,single,34.1001392517,-117.710007249
lawry,3,C32,128.0,single,34.1000431922,-117.710009261
lawry,3,C33,120.0,single,34.1001498015,-117.709969027
lawry,3,C34,120.0,single,34.1000287555,-117.709969027
lawry,3,C35,120.0,single,34.1001492463,-117.709929465
lawry,3,C36,120.0,single,34.1000331975,-117.709925442
lawry,3,C37,116.0,single,34.1001125993,-117.709903313
lawry,3,C38,116.0,single,34.1000809497,-117.709905325
clarkv,1,S01A,142.0,two room double,34.0999654559,-117.712318978
clarkv,1,S01B,125.0,two room double,34.0999671217,-117.712281427
clarkv,1,S02A,142.0,two room double,34.0998854987,-117.712318978
clarkv,1,S02B,125.0,two room double,34.0998821672,-117.712279415
clarkv,1,S03A,142.0,two room double,34.0999676769,-117.712046733
clarkv,1,S03B,125.0,two room double,34.0999704532,-117.712001136
clarkv,1,S04A,142.0,two room double,34.0998832777,-117.712048745
clarkv,1,S04B,125.0,two room double,34.0998832777,-117.712003818
clarkv,1,S05A,142.0,two room double,34.0999621244,-117.711776501
clarkv,1,S05B,125.0,two room double,34.0999643454,-117.711736938
clarkv,1,S06A,142.0,two room double,34.0998849435,-117.711777171
clarkv,1,S06B,125.0,two room double,34.0998788356,-117.711733586
clarkv,2,S21A,142.0,two room double,34.099960181,-117.712322666
clarkv,2,S21B,125.0,two room double,34.0999612915,-117.712282433
clarkv,2,S22A,142.0,two room double,34.0998774475,-117.71232736
clarkv,2,S22B,125.0,two room double,34.0998768922,-117.712281762
clarkv,2,S23A,142.0,two room double,34.099962402,-117.712052433
clarkv,2,S23B,125.0,two room double,34.0999590704,-117.712009518
clarkv,2,S24A,142.0,two room double,34.0998780027,-117.712057127
clarkv,2,S24B,125.0,two room double,34.0998768922,-117.712009518
clarkv,2,S25A,142.0,two room double,34.099962402,-117.711779518
clarkv,2,S25B,125.0,two room double,34.0999596257,-117.711737944
clarkv,2,S26A,142.0,two room double,34.0998791133,-117.71178153
clarkv,2,S26B,125.0,two room double,34.0998768922,-117.711736603
